gp_code, gp_name, X, Y, gp_survey_total, gp_survey_r, gp_survey_response_rate_pct, gp_overall_unweighted_n, gp_overall_very_good_pct, gp_overall_fairly_good_pct, gp_overall_neutral_pct, gp_overall_fairly_poor_pct, gp_overall_very_poor_pct, gp_overall_good_total_pct, gp_overall_good_ci95_low, gp_overall_good_ci95_high, phone_ease_unweighted_n, gp_phone_not_tried_pct, gp_phone_unweighted_n, gp_phone_very_easy_pct, gp_phone_fairly_easy_pct, gp_phone_neutral_pct, gp_phone_fairly_diff_pct, gp_phone_very_diff_pct, gp_phone_easy_total_pct, gp_phone_easy_ci95_low, gp_phone_easy_ci95_high, website_ease_unweighted_n, gp_web_not_tried_pct, gp_web_unweighted_n, gp_web_very_easy_pct, gp_web_fairly_easy_pct, gp_web_neutral_pct, gp_web_fairly_diff_pct, gp_web_very_diff_pct, gp_web_easy_total_pct, gp_web_easy_ci95_low, gp_web_easy_ci95_high, app_ease_unweighted_n, gp_app_not_tried_pct, gp_app_unweighted_n, gp_app_very_easy_pct, gp_app_fairly_easy_pct, gp_app_neutral_pct, gp_app_fairly_diff_pct, gp_app_very_diff_pct, gp_app_easy_total_pct, gp_app_easy_ci95_low, gp_app_easy_ci95_high, gp_reception_unweighted_n, gp_reception_very_helpful_pct, gp_reception_fairly_helpful_pct, gp_reception_not_very_helpful_pct, gp_reception_not_at_all_helpful_pct, gp_reception_helpful_total_pct, gp_reception_helpful_ci95_low, gp_reception_helpful_ci95_high, gp_online_unweighted_n, gp_online_booking_pct, gp_online_form_health_issue_pct, gp_online_prescriptions_pct, gp_online_medical_records_pct, gp_online_register_practice_pct, gp_online_test_results_pct, gp_online_admin_request_pct, gp_online_none_pct, gp_pref_prof_unweighted_n, gp_pref_prof_yes_pct, gp_pref_prof_no_pct, gp_pref_prof_yes_ci95_low, gp_pref_prof_yes_ci95_high, gp_pref_prof_freq_total_unweighted_n, gp_pref_prof_freq_not_tried_pct, gp_pref_prof_freq_unweighted_n, gp_pref_prof_freq_always_pct, gp_pref_prof_freq_alot_pct, gp_pref_prof_freq_sometimes_pct, gp_pref_prof_freq_never_pct, gp_pref_prof_freq_always_alot_total_pct, gp_pref_prof_freq_always_alot_ci95_low, gp_pref_prof_freq_always_alot_ci95_high
M82002, MYTTON OAK MEDICAL PRACT., 52.70770818, -2.797630472, 335, 106, 32%, 106, 50%, 27%, 14%, 5%, 4%, 77%, 65%, 86%, 106, 12%, 98, 15%, 40%, 9%, 24%, 12%, 55%, 42%, 67%, 104, 58%, 38, 31%, 23%, 13%, 17%, 16%, 55%, 34%, 74%, 106, 56%, 45, 22%, 37%, 19%, 9%, 13%, 59%, 40%, 76%, 105, 38%, 48%, 5%, 8%, 86%, 75%, 93%, 104, 40%, 17%, 53%, 25%, 2%, 23%, 2%, 26%, 105, 25%, 75%, 16%, 37%, 33, 2%, 32, 32%, 11%, 38%, 19%, 43%, 23%, 66%
M82006, RIVERSIDE MED PRACTICE, 52.70879318, -2.757822087, 397, 106, 27%, 105, 55%, 23%, 7%, 6%, 10%, 78%, 64%, 87%, 106, 8%, 95, 12%, 38%, 13%, 23%, 14%, 50%, 35%, 64%, 105, 11%, 87, 27%, 38%, 8%, 17%, 10%, 65%, 49%, 78%, 105, 38%, 55, 14%, 36%, 12%, 20%, 18%, 50%, 31%, 68%, 101, 41%, 44%, 9%, 6%, 85%, 72%, 93%, 105, 66%, 50%, 53%, 22%, 1%, 29%, 15%, 9%, 105, 22%, 78%, 13%, 36%, 25, 14%, 23, 10%, 47%, 25%, 18%, 57%, 28%, 82%
M82016, RADBROOK GREEN SURGERY, 52.69710216, -2.776072558, 303, 107, 35%, 107, 43%, 40%, 13%, 4%, 0%, 83%, 70%, 91%, 107, 10%, 96, 24%, 38%, 17%, 19%, 2%, 62%, 47%, 75%, 106, 42%, 63, 46%, 36%, 12%, 5%, 0%, 82%, 64%, 92%, 106, 65%, 38, 21%, 49%, 22%, 7%, 2%, 70%, 45%, 86%, 103, 53%, 37%, 10%, 0%, 90%, 78%, 96%, 106, 52%, 38%, 57%, 27%, 5%, 26%, 13%, 18%, 106, 32%, 68%, 20%, 46%, 38, 1%, 37, 30%, 12%, 51%, 7%, 42%, 22%, 66%
M82018, BEECHES MEDICAL PRACTICE, 52.6743454, -2.772291302, 320, 119, 37%, 118, 65%, 23%, 4%, 6%, 2%, 88%, 82%, 91%, 119, 6%, 112, 34%, 48%, 5%, 13%, 0%, 82%, 76%, 87%, 119, 67%, 37, 44%, 22%, 27%, 5%, 1%, 66%, 53%, 77%, 119, 74%, 34, 49%, 26%, 7%, 10%, 8%, 76%, 63%, 85%, 116, 61%, 36%, 1%, 2%, 97%, 94%, 99%, 119, 34%, 17%, 41%, 22%, 2%, 40%, 9%, 30%, 118, 21%, 79%, 16%, 27%, 25, 6%, 23, 22%, 34%, 37%, 8%, 55%, 39%, 71%
M82023, PRESCOTT SURGERY, 52.78372237, -2.852601002, 317, 100, 32%, 99, 66%, 30%, 4%, 1%, 0%, 95%, 89%, 98%, 100, 5%, 98, 51%, 40%, 3%, 6%, 0%, 91%, 84%, 95%, 98, 66%, 30, 54%, 33%, 7%, 4%, 2%, 87%, 70%, 95%, 100, 58%, 42, 39%, 30%, 11%, 14%, 6%, 69%, 54%, 81%, 97, 53%, 44%, 3%, 0%, 97%, 91%, 99%, 97, 24%, 23%, 52%, 45%, 5%, 43%, 10%, 24%, 100, 34%, 66%, 26%, 44%, 40, 3%, 39, 20%, 41%, 35%, 4%, 61%, 45%, 75%
M82032, SEVERN FIELDS MEDICAL PRACTICE, 52.7282148, -2.721917629, 425, 97, 23%, 97, 27%, 29%, 19%, 8%, 17%, 56%, 35%, 75%, 97, 3%, 92, 9%, 31%, 9%, 30%, 20%, 41%, 22%, 63%, 97, 34%, 56, 25%, 33%, 16%, 18%, 7%, 58%, 31%, 81%, 97, 52%, 51, 32%, 24%, 19%, 10%, 16%, 55%, 28%, 80%, 92, 22%, 52%, 13%, 13%, 74%, 51%, 89%, 97, 43%, 48%, 62%, 35%, 4%, 38%, 25%, 18%, 96, 29%, 71%, 14%, 52%, 25, 0%, 25, 0%, 13%, 50%, 37%, 13%, 2%, 58%
M82034, CLAREMONT BANK SURGERY, 52.70836818, -2.758792519, 329, 111, 34%, 111, 79%, 12%, 4%, 5%, 0%, 92%, 85%, 96%, 111, 9%, 106, 49%, 38%, 8%, 5%, 0%, 87%, 79%, 93%, 111, 53%, 40, 41%, 46%, 3%, 5%, 6%, 87%, 72%, 94%, 110, 50%, 48, 59%, 18%, 6%, 14%, 3%, 77%, 62%, 87%, 111, 66%, 30%, 4%, 1%, 95%, 89%, 98%, 111, 49%, 19%, 61%, 39%, 4%, 34%, 17%, 21%, 110, 37%, 63%, 28%, 46%, 52, 0%, 52, 25%, 32%, 37%, 6%, 57%, 43%, 70%
M82040, MARYSVILLE MEDICAL PRACT, 52.6965621, -2.74649056, 379, 116, 31%, 115, 55%, 35%, 5%, 3%, 1%, 90%, 86%, 93%, 116, 7%, 108, 33%, 50%, 7%, 8%, 2%, 83%, 77%, 87%, 116, 55%, 51, 41%, 32%, 9%, 14%, 4%, 73%, 64%, 81%, 116, 63%, 36, 46%, 35%, 13%, 5%, 1%, 81%, 70%, 88%, 110, 52%, 42%, 5%, 1%, 94%, 90%, 97%, 116, 31%, 31%, 65%, 27%, 4%, 33%, 14%, 26%, 114, 26%, 74%, 21%, 32%, 23, 25%, 19, 8%, 9%, 74%, 10%, 16%, 7%, 32%
M82047, MARDEN MEDICAL PRACTICE, 52.69885141, -2.730670133, 300, 84, 28%, 84, 47%, 34%, 10%, 8%, 1%, 80%, 62%, 91%, 84, 3%, 80, 28%, 31%, 11%, 19%, 12%, 58%, 39%, 75%, 84, 42%, 52, 24%, 31%, 5%, 23%, 16%, 56%, 33%, 77%, 84, 52%, 40, 43%, 24%, 13%, 6%, 14%, 67%, 39%, 86%, 80, 43%, 42%, 13%, 1%, 85%, 67%, 94%, 84, 54%, 29%, 54%, 24%, 0%, 26%, 13%, 24%, 84, 30%, 70%, 16%, 49%, 23, 2%, 22, 33%, 17%, 36%, 14%, 51%, 20%, 81%
M82048, BELVIDERE MEDICAL PRACT., 52.70757528, -2.729660479, 351, 121, 34%, 121, 48%, 33%, 14%, 5%, 0%, 81%, 75%, 86%, 121, 12%, 112, 30%, 42%, 14%, 14%, 0%, 72%, 65%, 78%, 120, 56%, 53, 25%, 45%, 17%, 12%, 1%, 70%, 59%, 78%, 120, 57%, 51, 30%, 35%, 29%, 3%, 3%, 64%, 54%, 74%, 115, 53%, 42%, 5%, 1%, 94%, 90%, 97%, 121, 41%, 15%, 52%, 26%, 6%, 32%, 4%, 20%, 120, 38%, 62%, 31%, 44%, 47, 1%, 46, 9%, 52%, 26%, 13%, 61%, 49%, 71%
M82060, SOUTH HERMITAGE SURGERY, 52.70028291, -2.752332877, 360, 126, 35%, 126, 67%, 28%, 3%, 3%, 0%, 94%, 89%, 97%, 126, 10%, 116, 41%, 40%, 7%, 12%, 1%, 81%, 73%, 86%, 126, 59%, 55, 35%, 34%, 10%, 15%, 6%, 69%, 57%, 79%, 126, 60%, 47, 37%, 43%, 6%, 2%, 13%, 79%, 67%, 88%, 124, 69%, 28%, *, 3%, 97%, 92%, 99%, 126, 24%, 18%, 53%, 33%, 7%, 28%, 18%, 22%, 126, 28%, 72%, 21%, 35%, 42, 0%, 42, 20%, 28%, 26%, 27%, 47%, 34%, 61%
