gp_code,gp_name,latitude,longitude
M82002,MYTTON OAK MEDICAL PRACT.,52.7077081824594,-2.79763047198342
M82006,RIVERSIDE MED PRACTICE,52.7087931789497,-2.75782208688397
M82016,RADBROOK GREEN SURGERY,52.6971021619361,-2.77607255804857
M82018,BEECHES MEDICAL PRACTICE,52.6743453958868,-2.77229130222964
M82023,PRESCOTT SURGERY,52.7837223665338,-2.85260100222413
M82032,SEVERN FIELDS MEDICAL PRACTICE,52.7282147955734,-2.72191762921101
M82034,CLAREMONT BANK SURGERY,52.7083681803299,-2.75879251942374
M82040,MARYSVILLE MEDICAL PRACT,52.696562101073,-2.7464905599005
M82047,MARDEN MEDICAL PRACTICE,52.6988514119512,-2.73067013291626
M82048,BELVIDERE MEDICAL PRACT.,52.7075752789811,-2.72966047894762
M82060,SOUTH HERMITAGE SURGERY,52.7002829131761,-2.7523328770961
