postcode,Latitude,Longitude,Easting,Northing
SY1 1AD,52.705472,-2.750596,349381,312243
SY1 1DF,52.707709,-2.750915,349362,312492
SY1 1DP,52.708713,-2.752664,349245,312605
SY1 1DW,52.709112,-2.750703,349378,312648
SY1 1DX,52.708953,-2.751795,349304,312631
SY1 1DY,52.708627,-2.750679,349379,312594
SY1 1ES,52.706972,-2.750858,349365,312410
SY1 1EZ,52.707342,-2.750642,349380,312451
SY1 1HD,52.708054,-2.754518,349119,312533
SY1 1HF,52.707654,-2.755281,349067,312489
SY1 1JD,52.707051,-2.756735,348968,312423
SY1 1JF,52.705615,-2.757895,348888,312264
SY1 1JH,52.706712,-2.756404,348990,312385
SY1 1JJ,52.706956,-2.757592,348910,312413
SY1 1JN,52.706079,-2.758465,348850,312316
SY1 1LE,52.707421,-2.755232,349070,312463
SY1 1LP,52.706769,-2.753016,349219,312389
SY1 1LT,52.706592,-2.754063,349148,312370
SY1 1LW,52.706926,-2.753832,349164,312407
SY1 1LZ,52.706604,-2.75507,349080,312372
SY1 1NG,52.707212,-2.755554,349048,312440
SY1 1NN,52.706922,-2.755964,349020,312408
SY1 1NQ,52.706561,-2.756061,349013,312368
SY1 1PD,52.71123,-2.75139,349334,312884
SY1 1PE,52.711001,-2.752008,349292,312859
SY1 1PP,52.709205,-2.755929,349025,312662
SY1 1PQ,52.709065,-2.75532,349066,312646
SY1 1PT,52.709596,-2.755225,349073,312705
SY1 1PU,52.709113,-2.756298,349000,312652
SY1 1PY,52.708416,-2.75559,349047,312574
SY1 1PZ,52.708337,-2.755263,349069,312565
SY1 1QD,52.708431,-2.756093,349013,312576
SY1 1QG,52.708045,-2.755998,349019,312533
SY1 1QU,52.708849,-2.756796,348966,312623
SY1 1RD,52.707836,-2.757726,348902,312511
SY1 1RG,52.708131,-2.758101,348877,312544
SY1 1RJ,52.708257,-2.759347,348793,312559
SY1 1RU,52.708652,-2.760893,348689,312604
SY1 1RW,52.708521,-2.758892,348824,312588
SY1 1SJ,52.708004,-2.75391,349160,312527
SY1 1SP,52.707292,-2.752906,349227,312447
SY1 1SQ,52.707958,-2.754191,349141,312522
SY1 1ST,52.707049,-2.752902,349227,312420
SY1 1TE,52.70563,-2.754002,349151,312263
SY1 1TG,52.705961,-2.750071,349417,312297
SY1 1TH,52.705055,-2.755443,349053,312200
SY1 1TZ,52.705878,-2.750454,349391,312288
SY1 1UD,52.705601,-2.748629,349514,312256
SY1 1UE,52.705629,-2.752729,349237,312262
SY1 1UH,52.707478,-2.751873,349297,312467
SY1 1UT,52.70675,-2.751757,349304,312386
SY1 1UW,52.70819,-2.752966,349224,312547
SY1 1XA,52.706123,-2.751421,349326,312316
SY1 1XB,52.706409,-2.750301,349402,312347
SY1 1XH,52.706573,-2.748572,349519,312364
SY1 1XJ,52.706047,-2.749244,349473,312306
SY1 1XL,52.705525,-2.749324,349467,312248
SY1 1XQ,52.706037,-2.747941,349561,312304
SY1 1XS,52.707785,-2.753122,349213,312502
SY1 2AA,52.711418,-2.750135,349419,312904
SY1 2AB,52.7112,-2.750487,349395,312880
SY1 2AD,52.710768,-2.750509,349393,312832
SY1 2AE,52.711378,-2.750756,349377,312900
SY1 2AF,52.718841,-2.743438,349880,313725
SY1 2AJ,52.710187,-2.751343,349336,312768
SY1 2AT,52.710195,-2.750188,349414,312768
SY1 2AU,52.7097,-2.750135,349417,312713
SY1 2BA,52.709052,-2.750272,349407,312641
SY1 2BF,52.720331,-2.753708,349188,313898
SY1 2BG,52.709879,-2.751752,349308,312734
SY1 2BL,52.722548,-2.754398,349144,314145
SY1 2BN,52.722858,-2.753589,349199,314179
SY1 2BQ,52.709614,-2.750992,349359,312704
SY1 2BW,52.709232,-2.75177,349306,312662
SY1 2BX,52.709399,-2.750856,349368,312680
SY1 2DA,52.717802,-2.754183,349153,313617
SY1 2DH,52.714545,-2.751803,349310,313253
SY1 2DJ,52.711873,-2.750572,349390,312955
SY1 2DL,52.714524,-2.752231,349281,313251
SY1 2DP,52.713913,-2.752236,349280,313183
SY1 2DR,52.713501,-2.751859,349305,313137
SY1 2DS,52.713638,-2.751624,349321,313152
SY1 2DX,52.715887,-2.752758,349247,313403
SY1 2DY,52.71639,-2.752856,349241,313459
SY1 2DZ,52.715648,-2.753583,349191,313377
SY1 2EA,52.716079,-2.753665,349186,313425
SY1 2EH,52.714209,-2.749473,349467,313214
SY1 2EQ,52.715231,-2.748484,349535,313327
SY1 2EU,52.715335,-2.747716,349587,313338
SY1 2EY,52.716257,-2.746813,349649,313440
SY1 2EZ,52.717367,-2.746122,349697,313563
SY1 2HA,52.718302,-2.74482,349786,313666
SY1 2HE,52.717516,-2.745325,349751,313579
SY1 2HH,52.718921,-2.744979,349776,313735
SY1 2HL,52.715896,-2.745579,349732,313399
SY1 2HQ,52.718598,-2.744899,349781,313699
SY1 2HS,52.712517,-2.745403,349740,313023
SY1 2HT,52.713068,-2.746374,349675,313085
SY1 2HY,52.713852,-2.746165,349690,313172
SY1 2JA,52.713235,-2.745652,349724,313103
SY1 2JB,52.712803,-2.744312,349814,313054
SY1 2JD,52.713058,-2.742244,349954,313081
SY1 2JF,52.713951,-2.744628,349794,313182
SY1 2JJ,52.714001,-2.742378,349946,313186
SY1 2JL,52.713795,-2.742405,349944,313163
SY1 2JN,52.713545,-2.743496,349870,313136
SY1 2JQ,52.713424,-2.744189,349823,313123
